Currency,Price,Boat Type,Manufacturer,Type,Year Built,Material,Location,Number of views last 7 days,Country
CHF ,78750,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,GRP,Switzerland » Neuenburgersee » Concise ,271,Switzerland
EUR ,72500,Sport Boat,Formula power boats,"Used boat,Unleaded",2007,GRP,Spain » Ibiza,85,Spain
EUR ,72500,Flybridge,Princess power boats,"Used boat,Diesel",1986,GRP,Portugal » North of Portugal,112,Portugal
EUR ,72500,Cabin Boat,Marine Offshore power boats,Used boat,2017,Wood,Netherlands » In verkoophaven,40,Netherlands
EUR ,72500,Motor Yacht,Ocqueteau power boats,"Used boat,Diesel",2005,GRP,Germany » Brandenburg,127,Germany
EUR ,72500,Motor Yacht,Rinker power boats,Used boat,2003,GRP,Netherlands » In verkoophaven,82,Netherlands
EUR ,72500,Sport Boat,Sea Ray power boats,Used boat,2005,GRP,Netherlands,79,Netherlands
EUR ,74500,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2008,PVC,Netherlands » Drimmelen,182,Netherlands
EUR ,74245,Sport Boat,Sensation power boats,"new boat from stock,Unleaded",2019,GRP,"Germany » FA. SIEGEL, GUMMERSBACH, FA. SIEGEL, GUMMERSBACH",75,Germany
EUR ,74229,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,Steel,"France » PLUNERET, France",36,France
CHF ,80000,Pilothouse,Sea Ray power boats,"Used boat,Unleaded",2000,GRP,Switzerland » Vésenaz,200,Switzerland
CHF ,80000,Sport Boat,Windy power boats,Used boat,2000,GRP,Switzerland » Lake Geneva » Lausanne,455,Switzerland
CHF ,80000,"Flybridge,Motor Yacht",Condor Yachting power boats,"Used boat,Diesel",1988,Steel,Switzerland » Lake of Zurich » Zürich,422,Switzerland
CHF ,80000,Motor Yacht,Sunseeker power boats,"Used boat,Unleaded",1999,GRP,Switzerland » Bielersee,331,Switzerland
EUR ,74000,Motor Yacht,Condor Yachting power boats,"Used boat,Diesel",1992,Steel,Germany » Norddeutschland,88,Germany
EUR ,75000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,GRP,Croatia (Hrvatska),144,Croatia (Hrvatska)
EUR ,75000,Motor Yacht,Fairline power boats,"Used boat,Diesel",1996,GRP,Portugal » Lisbon » Lisboa,73,Portugal
EUR ,75000,Motor Yacht,Bertram power boats,Used boat,1971,GRP,Finland » Hangö,68,Finland
EUR ,75000,Motor Yacht,Apreamare power boats,"Used boat,Diesel",2004,GRP,Italy » porto santo stefano ,434,Italy
EUR ,75000,"Cabin Boat,Sport Boat",Bella power boats,"Used boat,Diesel",2002,GRP,Germany » Niedersachsen » Bispingen,186,Germany
EUR ,75000,Flybridge,Viking Marin power boats,"Used boat,Diesel",2001,GRP,Germany » Müritz » Eldenburg ,253,Germany
EUR ,75000,Hardtop,Fairline power boats,"Used boat,Diesel",1996,GRP,Portugal » Lisbon » Lisboa,138,Portugal
EUR ,75000,Center console boat,Gagliotta power boats,Used boat,2004,GRP,Italy » Campania » Campania,103,Italy
EUR ,75000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,GRP,Portugal » Lisbon » Lisboa,236,Portugal
EUR ,75000,Pilothouse,Nimbus power boats,"Used boat,Diesel",2003,GRP,Croatia (Hrvatska) » Kvarner,175,Croatia (Hrvatska)
EUR ,75000,Flybridge,Azimut power boats,Used boat,1996,GRP,Italy » Toscana » Toscana,91,Italy
EUR ,75000,Trawler,Gillissen power boats,"Used boat,Diesel",1978,Steel,Netherlands » Genemuiden (NL),162,Netherlands
EUR ,75000,Flybridge,Carnevali power boats,Used boat,2000,GRP,Croatia (Hrvatska) » onbekend,66,Croatia (Hrvatska)
EUR ,75000,Motor Yacht,Italcraft power boats,"Used boat,Diesel",1990,GRP,Portugal » North of Portugal,113,Portugal
EUR ,75000,Flybridge,Carnevali power boats,"Used boat,Diesel",2000,GRP,Croatia (Hrvatska) » Split,77,Croatia (Hrvatska)
EUR ,75000,Motor Yacht,Fairline power boats,"Used boat,Diesel",1991,GRP,Spain » Costa Blanca » Calpe ,124,Spain
EUR ,75000,Pilothouse,Rhea power boats,"Used boat,Diesel",2008,PVC,"France » Oléron, Oléron",158,France
EUR ,75000,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2008,GRP,Croatia (Hrvatska),91,Croatia (Hrvatska)
EUR ,75000,Sport Boat,Cruisers Yachts power boats,"Used boat,Diesel",1998,GRP,Spain » Valencia,81,Spain
EUR ,75000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",1999,GRP,Croatia (Hrvatska),52,Croatia (Hrvatska)
EUR ,75000,Sport Boat,Salpa power boats,"Used boat,Diesel",2008,GRP,Croatia (Hrvatska),36,Croatia (Hrvatska)
EUR ,75000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,PVC,"France » HENDAYE, HENDAYE",105,France
CHF ,83500,"Classic,Runabout",Boesch power boats,Used boat,1990,Wood,Switzerland » Lake of Zurich » Zürich,370,Switzerland
EUR ,77231,Pilothouse,Jeanneau power boats,"new boat on order,Unleaded",2020,GRP,Germany » Bönningstedt,33,Germany
CHF ,83450,Sport Boat,AMT power boats,"new boat from stock,Unleaded",2019,GRP,Switzerland » Vierwaldstättersee » Beckenried ,176,Switzerland
EUR ,77000,Flybridge,Princess power boats,"Used boat,Diesel",1991,Plastic,Italy » Lombardia - Trentino Alto Adige » Moniga del Garda (BS),40,Italy
EUR ,77000,Trawler,De Groot power boats,"Used boat,Diesel",1979,Steel,"France » Fongrave, France",82,France
EUR ,77000,Sport Boat,Airon Marine power boats,"Used boat,Diesel",2007,PVC,"France » PORTO VECCHIO, PORTO VECCHIO",91,France
EUR ,77000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2005,PVC,"France » LES SABLES OLONNE, France",60,France
EUR ,77000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2007,GRP,France » Côte d'Azur » Les Marines de Cogolin,93,France
EUR ,77000,Flybridge,Uniesse power boats,"Used boat,Diesel",1993,GRP,Italy » Mar Tirreno,81,Italy
Â£ ,69950,Pilothouse,Jeanneau power boats,Used boat,2013,PVC,"United Kingdom » Lincoln, Lincoln",116,United Kingdom
EUR ,78900,Trawler,Blauwe Hand power boats,"Used boat,Diesel",1985,Steel,"Germany » BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK",47,Germany
EUR ,78900,Cabin Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Bayern » Schwebheim / Schweinfurt,62,Germany
CHF ,85000,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2018,GRP,Switzerland » Walensee » 8881 Tscherlach/Walenstadt ,183,Switzerland
CHF ,85000,Cabin Boat,Aquanaut power boats,"Used boat,Diesel",1992,Steel,Switzerland » Neuenburgersee » Auvernier,336,Switzerland
EUR ,78540,Pilothouse,Jeanneau power boats,new boat from stock,2020,GRP,Germany » Bönningstedt,90,Germany
EUR ,78500,Deck Boat,Sessa power boats,"new boat from stock,Unleaded",2020,GRP,Italy » Toscana » Toscana,145,Italy
EUR ,78500,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,PVC,"France » Vaux-sur-Seine, France",62,France
EUR ,78500,Sport Boat,Grginic power boats,"Used boat,Diesel",2018,GRP,Croatia (Hrvatska) » Dalmatia,201,Croatia (Hrvatska)
CHF ,84500,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1969,Wood,Switzerland » Lake of Zurich » Kilchberg,360,Switzerland
CHF ,84329,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,GRP,Switzerland » Lake of Zurich » Altendorf ,128,Switzerland
EUR ,78000,Hardtop,Cranchi power boats,"Used boat,Diesel",2008,GRP,Croatia (Hrvatska),59,Croatia (Hrvatska)
EUR ,79000,"Classic,Flybridge",Camuffo power boats,"Used boat,Diesel",1986,Wood,Italy » Friuli-Venezia Giulia,74,Italy
EUR ,79000,Flybridge,Princess power boats,"Used boat,Diesel",2000,PVC,"France » TOULON, France",145,France
EUR ,79000,Bowrider,Draco power boats,"Used boat,Unleaded",2015,GRP,Germany » Boltenhagen,40,Germany
EUR ,79000,Trawler,Blue Ocean power boats,"Used boat,Diesel",1978,GRP,Netherlands » Urk (NL),65,Netherlands
EUR ,79000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2004,GRP,Italy » Nord Adria,229,Italy
EUR ,79000,Bowrider,Jeanneau power boats,"new boat from stock,Unleaded",2020,PVC,"France » BORMES LES MIMOSAS, BORMES LES MIMOSAS",55,France
EUR ,79000,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2016,PVC,"France » ARCACHON, ARCACHON",29,France
EUR ,79000,Motor Yacht,Inter power boats,"Used boat,Diesel",2003,GRP,Germany » Brandenburg » Grünheide,252,Germany
EUR ,79000,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2015,PVC,"France » CANET EN ROUSSILLON, CANET EN ROUSSILLON",47,France
EUR ,79000,Flybridge,Raffaelli power boats,"Used boat,Diesel",1993,GRP,Italy » Marche - Umbria » Marche,47,Italy
EUR ,79900,Sport Boat,Formula power boats,"Used boat,Unleaded",2007,GRP,Finland » Ostsee » TURKU,226,Finland
EUR ,79900,Pilothouse,Viknes power boats,Used boat,2004,GRP,Netherlands » In verkoophaven,79,Netherlands
EUR ,79900,Motor Yacht,Wim van der Valk power boats,"Used boat,Diesel",1978,Steel,Netherlands » Sas van Gent,189,Netherlands
EUR ,79900,Sport Boat,Invictus power boats,new boat from stock,2016,PVC,"France » SAINT CYPRIEN, France, SAINT CYPRIEN, SAINT CYPRIE",81,France
EUR ,79900,Sport Boat,Invictus power boats,"new boat from stock,Unleaded",2016,PVC,"France » SAINT CYPRIEN, SAINT CYPRIEN",89,France
EUR ,79900,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Bönningstedt,73,Germany
EUR ,79900,Pilothouse,Arvor power boats,"Used boat,Diesel",2012,GRP,Sweden » Baltic sea,221,Sweden
EUR ,79800,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,GRP,Austria » Linz,76,Austria
EUR ,79800,Sport Boat,Invictus power boats,"Display Model,Unleaded",2019,GRP,Switzerland » Lago Maggiore » Locarno,206,Switzerland
Â£ ,72695,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,PVC,"United Kingdom » Burton Waters, Burton Waters",39,United Kingdom
EUR ,79600,Sport Boat,Sea Ray power boats,"Used boat,Diesel",1999,GRP,Germany » BUDENHEIM/RHEIN,87,Germany
CHF ,86000,Sport Boat,Flipper power boats,"Display Model,Unleaded",2019,GRP,Switzerland » Vierwaldstättersee » Horw,180,Switzerland
EUR ,79550,Cabin Boat,Saver power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Bayern » Gersthofen Augsburg ,109,Germany
Â£ ,72495,Offshore Boat,Sunseeker power boats,"Used boat,Diesel",1998,GRP,United Kingdom » Swanwick,127,United Kingdom
EUR ,79500,Motor Yacht,Salpa power boats,"Used boat,Diesel",2008,GRP,Croatia (Hrvatska) » Kvarner,44,Croatia (Hrvatska)
EUR ,80000,Flybridge,Ferretti power boats,"Used boat,Diesel",1990,GRP,Spain » Alicante,193,Spain
EUR ,80000,Center console boat,Cranchi power boats,Used boat,2006,GRP,Italy » Campania » Campania,120,Italy
EUR ,80000,Motor Yacht,Maxum power boats,"Used boat,Diesel",2005,GRP,Montenegro » Kotor,113,Montenegro
EUR ,80000,Sport Boat,Cranchi power boats,"Used boat,Diesel",2006,GRP,Italy » Toscana » Toscana,81,Italy
EUR ,80000,Hardtop,Bavaria power boats,"Used boat,Unleaded",2007,GRP,Italy » Dormelletto (NO),148,Italy
EUR ,80000,Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2007,GRP,Netherlands » Brielle,74,Netherlands
EUR ,80000,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,Steel,"France » PORNICHET, France",59,France
EUR ,80000,Motor Yacht,Boston Whaler power boats,"Used boat,Unleaded",2007,GRP,Italy » Lazio » Lazio,29,Italy
EUR ,80000,Cabin Boat,Sessa power boats,"Used boat,Unleaded",2006,GRP,Italy » Lombardia - Trentino Alto Adige » Moniga del Garda (BS) ,225,Italy
EUR ,80000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,GRP,Malta » San ?iljan,120,Malta
CHF ,89500,Sport Boat,Windy power boats,"Used boat,Unleaded",2003,GRP,Switzerland » Lago Maggiore » Riazzino / Locarno ,363,Switzerland
EUR ,82500,Trawler,Super van Craft power boats,Used boat,1972,Steel,Netherlands » onbekend,146,Netherlands
EUR ,82500,Classic,Super van Craft power boats,Used boat,1965,Steel,Netherlands » Vinkeveen(nl),179,Netherlands
EUR ,82500,Launch,Jan Van Gent power boats,Used boat,2005,GRP,"Netherlands » Schip ligt op locatie in Roermond, bel ons voor ee",82,Netherlands
CHF ,89000,Trawler,Linssen power boats,"Used boat,Diesel",1990,Steel,Switzerland » Bielersee » Alte Zihl,351,Switzerland
CHF ,89000,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1989,Wood,Switzerland » Walensee » Niederurnen,297,Switzerland
CHF ,89000,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2015,GRP,Lake Geneva » Geneva,728,Lake Geneva
EUR ,82000,Fishing Boat,Pursuit power boats,"Used boat,Diesel",1999,GRP,Italy » Mar Tirreno,45,Italy
EUR ,82000,Motor Yacht,Chaparral power boats,"Used boat,Diesel",2007,GRP,Spain » Barcelona,106,Spain
EUR ,84950,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Lake Constance » Konstanz,304,Germany
EUR ,84900,Motor Yacht,Boston Whaler power boats,"Used boat,Unleaded",2009,GRP,Croatia (Hrvatska) » Dalmatia,140,Croatia (Hrvatska)
EUR ,84900,Trawler,Zijlmans power boats,Used boat,1995,Steel,Netherlands » In verkoophaven,183,Netherlands
EUR ,84900,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,PVC,"France » LES SABLES OLONNE, France",30,France
EUR ,84900,Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2016,GRP,Germany » LAMPERTHEIM,170,Germany
EUR ,84900,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Bönningstedt,95,Germany
EUR ,84500,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1994,GRP,Spain » Eivissa-San Juan,152,Spain
EUR ,84500,Trawler,Pedro power boats,Used boat,1998,Steel,Netherlands » In verkoophaven,103,Netherlands
EUR ,84500,Launch,Makma power boats,"Used boat,Diesel",2003,GRP,"Netherlands » Deze Makma 31 Mk 1 ligt op locatie.
Alleen op afsp",110,Netherlands
CHF ,90909,Sport Boat,Viper power boats,"new boat from stock,Unleaded",2020,GRP,Switzerland » Romanshorn,336,Switzerland
DKK ,625000,Pilothouse,Viknes power boats,Used boat,2005,GRP,Denmark » Sjælland,138,Denmark
DKK ,625000,Flybridge,Viksund power boats,"Used boat,Diesel",2000,GRP,Denmark » Seeland » øst sjælland,290,Denmark
EUR ,85000,Sport Boat,Dellapasqua power boats,new boat from stock,2019,GRP,Italy » Lake Garda » Moniga del Garda (BS),81,Italy
EUR ,85000,Center console boat,Gagliotta power boats,"Used boat,Diesel",2005,GRP,Italy » Sardegna » Sardegna,31,Italy
EUR ,85000,Flybridge,Dellapasqua power boats,Used boat,2004,GRP,Italy » Campania » Campania,62,Italy
EUR ,85000,Motor Yacht,Doqueve power boats,Used boat,1997,GRP,Spain » Murcia,39,Spain
EUR ,85000,Motor Yacht,Pershing power boats,"Used boat,Diesel",1990,GRP,Spain » Alicante,89,Spain
EUR ,85000,Motor Yacht,Cranchi power boats,Used boat,1999,GRP,Spain » Alicante,55,Spain
EUR ,85000,Flybridge,Piantoni (IT) power boats,"Used boat,Diesel",1993,GRP,Italy » Calabria,82,Italy
EUR ,85000,Motor Yacht,SAS-Vektor power boats,"Used boat,Diesel",2006,GRP,Croatia (Hrvatska) » Dalmatia,112,Croatia (Hrvatska)
EUR ,85000,Fishing Boat,Albemarle power boats,"Used boat,Diesel",2002,GRP,Italy,107,Italy
EUR ,85000,Trawler,Haines power boats,"Used boat,Diesel",2000,PVC,"France » Saint-Jean-de-Losne, France",57,France
EUR ,85000,Motor Yacht,Sagemar power boats,Used boat,2004,GRP,Italy » CATANIA,162,Italy
EUR ,85000,Motor Yacht,Sealine power boats,"Used boat,Diesel",2002,GRP,Italy » Friuli-Venezia Giulia,50,Italy
EUR ,87000,Launch,Makma power boats,Used boat,2008,GRP,Netherlands » onbekend,105,Netherlands
EUR ,86990,Sport Boat,BÃ©nÃ©teau power boats,new boat from stock,2020,GRP,France » France,106,France
EUR ,86990,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,PVC,Spain » Barcelona,69,Spain
EUR ,86900,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,PVC,"France » 29200 BREST, France",47,France
EUR ,86790,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Lake Constance » Lindau/Bodensee,143,Germany
Â£ ,79000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,PVC,"United Kingdom » Ardrossan, Ardrossan",67,United Kingdom
EUR ,86500,Water ski,Nautique power boats,"new boat on order,Unleaded",2020,GRP,Germany » Rheinland-Pfalz » Worms,123,Germany
EUR ,86449,Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2019,GRP,Germany » Nordrhein-Westfalen » Erftstadt,138,Germany
CHF ,93210,Pilothouse,Bayliner power boats,"new boat from stock,Unleaded",2020,GRP,Switzerland » Lake Geneva » Lausanne ,327,Switzerland
CHF ,92500,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",2007,Wood,Switzerland » Kilchberg,230,Switzerland
CHF ,92500,Sport Boat,Chris Craft power boats,"Used boat,Unleaded",2006,GRP,Switzerland » Lake of Zurich » Meilen,485,Switzerland
CHF ,93000,Sport Boat,Salpa power boats,"new boat on order,Unleaded",2020,GRP,Switzerland » Lake Constance » Goldach ,256,Switzerland
CHF ,93000,Bowrider,Tullio Abbate power boats,"new boat from stock,Unleaded",2019,GRP,Switzerland » Vierwaldstättersee » Horw,220,Switzerland
CHF ,93000,Sport Boat,Salpa power boats,new boat from stock,2018,GRP,Switzerland » Vierwaldstättersee » Horw,197,Switzerland
EUR ,88900,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2004,GRP,Croatia (Hrvatska) » Dalmatia,111,Croatia (Hrvatska)
CHF ,96000,Runabout,Ganz Boats power boats,"Display Model,Unleaded",2019,GRP,Switzerland » Lake of Zurich » Zürich ,173,Switzerland
CHF ,96000,"Classic,Sport Boat",Frauscher power boats,Used boat,2010,GRP,Switzerland » Luganersee » Bioggio,369,Switzerland
CHF ,96000,Sport Boat,Windy power boats,"Used boat,Diesel",2003,GRP,Switzerland » Stansstad,457,Switzerland
CHF ,96000,Sport Boat,Windy power boats,"Used boat,Unleaded",2002,GRP,Switzerland » Stansstad,383,Switzerland
EUR ,88750,Motor Yacht,Amer power boats,Used boat,2010,GRP,Netherlands » In verkoophaven,108,Netherlands
CHF ,95940,Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,GRP,Switzerland » Luganersee » Caslano ,191,Switzerland
EUR ,88658,Sport Boat,Sessa power boats,"new boat from stock,Unleaded",2019,GRP,Switzerland » Vierwaldstättersee » Alpnachstad ,193,Switzerland
CHF ,95000,Motor Yacht,Four Winns power boats,"Used boat,Unleaded",2003,GRP,Switzerland » Bielersee » Le Landeron,471,Switzerland
CHF ,95000,Motor Yacht,Windy power boats,"Used boat,Unleaded",1994,GRP,Switzerland » Solothurn ,1319,Switzerland
CHF ,95500,Motor Yacht,Glastron power boats,"Used boat,Unleaded",2016,GRP,Switzerland » Lake Constance » Romanshorn ,711,Switzerland
CHF ,95307,Sport Boat,Four Winns power boats,new boat from stock,2019,GRP,Switzerland » Vierwaldstättersee » Stansstad,199,Switzerland
EUR ,88000,Motor Yacht,Rio power boats,"Used boat,Diesel",1996,GRP,Italy » Friuli-Venezia Giulia,103,Italy
EUR ,88000,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2010,PVC,"Cyprus » Limassol, Chypre",124,Cyprus
EUR ,89000,Pilothouse,Rhea power boats,"Used boat,Diesel",2004,PVC,"France » 29200 BREST, 29200 BREST",145,France
EUR ,89000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1993,GRP,Croatia (Hrvatska) » INFO DD-YACHTING,80,Croatia (Hrvatska)
EUR ,89000,Motor Yacht,Pikmeerkruiser power boats,"Used boat,Diesel",1991,Steel,Netherlands » Nordholland » Aalsmeer,122,Netherlands
EUR ,89000,Sport Boat,Cobalt power boats,"Used boat,Unleaded",2006,GRP,Croatia (Hrvatska) » Rijeka,57,Croatia (Hrvatska)
EUR ,89000,Flybridge,Dellapasqua power boats,"Used boat,Diesel",2003,GRP,Italy » Mar Tirreno,63,Italy
EUR ,89000,Trawler,Vacance power boats,Used boat,1998,Steel,Netherlands » In verkoophaven,65,Netherlands
EUR ,89000,Pilothouse,Aquador power boats,Used boat,2009,GRP,Netherlands » Winterstalling,135,Netherlands
EUR ,89000,Flybridge,Sciallino power boats,"Used boat,Diesel",2003,GRP,Italy » Trieste,124,Italy
EUR ,89900,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2007,GRP,Croatia (Hrvatska) » Dalmatia,186,Croatia (Hrvatska)
EUR ,89900,Classic,Super van Craft power boats,"Used boat,Diesel",1974,Steel,Netherlands » Oostvoorne,93,Netherlands
EUR ,89900,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2001,GRP,Netherlands » Steelhaven,232,Netherlands
EUR ,89900,Bowrider,Cobalt power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Bayern » Boote Pfister Schwebheim / Schweinfurt,87,Germany
EUR ,89900,Hardtop,Bavaria power boats,"Used boat,Unleaded",2007,GRP,Germany » Mecklenburg-Vorpommern / Binnen,222,Germany
EUR ,89900,Cabin Boat,Quicksilver power boats,"Used boat,Diesel",2015,GRP,Travemünde ,1014,Travemünde 
EUR ,89900,Flybridge,Neptunus power boats,"Used boat,Diesel",1990,PVC,Netherlands » Drimmelen,156,Netherlands
EUR ,89650,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2019,GRP,Austria » Linz Schauraum TopYacht,77,Austria
EUR ,89650,Pilothouse,Stickl power boats,"new boat from stock,Electric",2020,GRP,Germany » Bayern » Werk,104,Germany
CHF ,96900,Sport Boat,Monterey power boats,"new boat from stock,Unleaded",2017,GRP,Switzerland » Bielersee » 3421 Lyssach,77,Switzerland
CHF ,96900,Wakeboard/Wakesurf,Centurion power boats,"Used boat,Unleaded",2018,GRP,Switzerland » Neuenburgersee » Thun ,316,Switzerland
CHF ,96856,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,GRP,Switzerland » Lake of Zurich » Altendorf ,218,Switzerland
CHF ,99000,Pilothouse,Bella power boats,"new boat from stock,Unleaded",2019,GRP,Switzerland » Vierwaldstättersee » Horw,163,Switzerland
CHF ,98000,"Classic,Pontoon Boat",Giudecca power boats,"Used boat,Unleaded",1993,GRP,Switzerland » Luganersee » Bioggio-Lugano,164,Switzerland
CHF ,98000,"Classic,Pontoon Boat,Trawler",Giudecca power boats,"Used boat,Unleaded",1993,GRP,Switzerland » Luganersee » Lugano,282,Switzerland
CHF ,98500,Trawler,De Boarnstream power boats,"Used boat,Diesel",1991,Steel,"Switzerland » Bielersee » le landeron, Neuchâtel ",200,Switzerland
CHF ,97800,Wakeboard/Wakesurf,Moomba power boats,"Display Model,Unleaded",2020,GRP,"Switzerland » Murtensee » Moomba Supra AG, Muntelier",267,Switzerland
EUR ,90282,Sport Boat,Cranchi power boats,"new boat from stock,Unleaded",2019,PVC,"Portugal » Parchal, Portugal",180,Portugal
EUR ,90000,Motor Yacht,Glacer power boats,Used boat,1989,Steel,Netherlands » Lemmer (NL),55,Netherlands
EUR ,90000,Hardtop,Four Winns power boats,"Used boat,Unleaded",2008,GRP,Italy » Friuli Venezia Giulia » Marina Lepanto - Monfalcone GO ,68,Italy
EUR ,90000,Motor Yacht,Cranchi power boats,Used boat,1998,GRP,"Netherlands » Bij eigenaar op afspraak, Mit Besitzer nach Verein",94,Netherlands
EUR ,95000,"Sport Boat,Wakeboard/Wakesurf,Water ski",Tony Giugliano power boats,"Used boat,Unleaded",2011,GRP,Germany » Bayern » 80638,801,Germany
EUR ,94900,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2017,GRP,Spain » Alicante,107,Spain
EUR ,94900,Flybridge,Jeanneau power boats,"Used boat,Diesel",2011,PVC,"France » CAPBRETON, France",50,France
EUR ,94800,Trawler,American Marine power boats,"Used boat,Diesel",1976,GRP,Germany » Ostsee » Ostsee,198,Germany
EUR ,94750,Trawler,Linssen power boats,"Used boat,Diesel",1991,Steel,Netherlands » Bestboats Roermond,128,Netherlands
CHF ,102168,Bowrider,Chaparral power boats,"new boat on order,Unleaded",2021,GRP,Switzerland » Lake Constance » Gottlieben ,312,Switzerland
EUR ,94000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2007,GRP,Croatia (Hrvatska),88,Croatia (Hrvatska)
EUR ,94000,Motor Yacht,Pro-Line power boats,"Used boat,Unleaded",2008,GRP,Croatia (Hrvatska),39,Croatia (Hrvatska)
EUR ,94000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,GRP,Germany » Norddeutschland,128,Germany
EUR ,94000,Motor Yacht,Linssen power boats,"Used boat,Diesel",1993,Steel,Germany » Breege,150,Germany
EUR ,95000,Flybridge,Rodman power boats,"Used boat,Diesel",2010,GRP,Portugal » Azores,63,Portugal
EUR ,95000,Sport Boat,Conam power boats,"Used boat,Diesel",2000,GRP,Italy » Campania » Campania,76,Italy
EUR ,95000,Motor Yacht,Rodman power boats,"Used boat,Diesel",2006,GRP,Spain » Mallorca » Mallorca,56,Spain
EUR ,95000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2006,GRP,Croatia (Hrvatska),109,Croatia (Hrvatska)
EUR ,95000,Motor Yacht,Four Winns power boats,"Used boat,Unleaded",2009,GRP,Croatia (Hrvatska) » Insel Krk,92,Croatia (Hrvatska)
EUR ,95000,Flybridge,Carnevali power boats,"Used boat,Diesel",2002,GRP,Italy » Veneto » Veneto,78,Italy
EUR ,95000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2010,PVC,"France » MENTON, France",85,France
EUR ,95000,Flybridge,Carver power boats,"Used boat,Diesel",1992,GRP,Spain » Murcia,107,Spain
EUR ,95000,Motor Yacht,Carver power boats,"Used boat,Diesel",1999,GRP,Italy » Nord Adria,85,Italy
EUR ,95000,Hardtop,Stama power boats,"Used boat,Diesel",2006,GRP,Italy » Nord Adria,150,Italy
EUR ,97733,Bowrider,Glastron power boats,"new boat from stock,Unleaded",2019,GRP,Switzerland » Lake Constance » Uttwil,273,Switzerland
EUR ,97650,Sport Boat,Cormate power boats,"new boat from stock,Unleaded",2019,GRP,Switzerland » Lake Constance » Gottlieben ,227,Switzerland
EUR ,97631,Cabin Boat,Stingray power boats,"new boat from stock,Unleaded",2019,GRP,Germany » Lake Constance » Konstanz-Dettingen,258,Germany
EUR ,97625,Bowrider,Regal power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Lake Constance » Lindau/Bodensee,163,Germany
