Currency,Price,Boat Type,Manufacturer,Type,Year Built,Material,Location,Number of views last 7 days,Country
CHF ,9265,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,GRP,Switzerland » Lake of Zurich » Bäch ,873,Switzerland
CHF ,9200,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,GRP,Switzerland » 8881 Tscherlach,258,Switzerland
EUR ,8500,Center console boat,Allegra power boats,Used boat,2018,GRP,Italy » Lombardia - Trentino Alto Adige » Moniga ,165,Italy
EUR ,8500,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,PVC,"France » Chalon-sur-Saône, France",78,France
EUR ,8500,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,PVC,France » 29200 BREST,116,France
EUR ,8500,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,GRP,Germany » Kelheim,250,Germany
EUR ,9750,Trawler,Gouwerok power boats,Used boat,1980,Steel,Netherlands » Sneek,183,Netherlands
CHF ,10500,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,GRP,Switzerland » Lago Maggiore » Locarno,465,Switzerland
CHF ,10400,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,GRP,Switzerland » Diessenhofen ,418,Switzerland
EUR ,9599,Cabin Boat,Crescent power boats,Unleaded,1992,GRP,Germany » Verkaufshafen Brandenburg-Plaue,185,Germany
EUR ,9575,Sport Boat,Sting power boats,new boat from stock,2016,GRP,Germany » Grevenbroich,64,Germany
EUR ,9553,Motor Yacht,Moonday power boats,new boat from stock,2019,GRP,Netherlands » Lemmer,91,Netherlands
EUR ,9500,Cabin Boat,Gouwerok power boats,Used boat,1964,Steel,Netherlands » In verkoophaven,138,Netherlands
EUR ,9500,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,GRP,Italy » Lombardia - Trentino Alto Adige » Moniga del Garda (BS) ,184,Italy
EUR ,9500,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,GRP,Germany » Brandenburg » Berlin / Brandenburg,162,Germany
CHF ,11000,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,GRP,Switzerland » Luganersee » Riva San Vitale ,256,Switzerland
CHF ,11000,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,Wood,Switzerland » Beringen,230,Switzerland
CHF ,11000,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,GRP,Switzerland » Rhein,182,Switzerland
EUR ,10115,Sport Boat,Italmar power boats,new boat from stock,2020,GRP,Germany » Wesel,115,Germany
CHF ,10900,Runabout,Safter Marine power boats,new boat on order,2020,GRP,Switzerland » Zugersee » Neuheim ,159,Switzerland
EUR ,10000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,GRP,Italy » Toscana » Toscana,585,Italy
EUR ,10000,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,GRP,Italy,185,Italy
EUR ,10000,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,Steel,Italy » Lombardia - Trentino Alto Adige » Cremona,182,Italy
